"PRODUCT","DRAW NUMBER","SEQUENCE NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4","NUMBER DRAWN 5","NUMBER DRAWN 6","NUMBER DRAWN 7","BONUS NUMBER"
"LOTTO MAX",1,0,"2009-09-25",5,17,19,25,31,38,46,4
"LOTTO MAX",2,0,"2009-10-02",8,27,28,29,31,32,35,11
"LOTTO MAX",3,0,"2009-10-09",5,15,25,38,42,46,47,26
"LOTTO MAX",4,0,"2009-10-16",4,10,18,20,31,35,44,29
"LOTTO MAX",5,0,"2009-10-23",4,7,10,12,23,25,36,18
"LOTTO MAX",6,0,"2009-10-30",6,9,10,14,17,18,19,46
"LOTTO MAX",7,0,"2009-11-06",2,7,8,11,16,17,18,12
"LOTTO MAX",7,1,"2009-11-06",1,3,10,24,31,32,42,0
"LOTTO MAX",7,2,"2009-11-06",9,14,24,35,37,38,40,0
"LOTTO MAX",7,3,"2009-11-06",24,28,30,32,43,44,47,0
"LOTTO MAX",7,4,"2009-11-06",2,19,30,38,40,46,47,0
"LOTTO MAX",7,5,"2009-11-06",6,8,11,21,23,28,48,0
"LOTTO MAX",7,6,"2009-11-06",7,11,14,16,34,44,46,0
"LOTTO MAX",7,7,"2009-11-06",10,13,17,18,26,28,40,0
"LOTTO MAX",7,8,"2009-11-06",1,4,10,21,29,36,40,0
"LOTTO MAX",7,9,"2009-11-06",6,9,10,24,29,47,49,0
"LOTTO MAX",7,10,"2009-11-06",2,14,16,18,23,36,44,0
"LOTTO MAX",8,0,"2009-11-13",8,18,27,28,38,41,48,36
"LOTTO MAX",9,0,"2009-11-20",2,8,28,30,36,39,42,24
"LOTTO MAX",10,0,"2009-11-27",11,15,24,26,37,38,43,17
"LOTTO MAX",11,0,"2009-12-04",1,6,13,19,32,35,40,7
"LOTTO MAX",12,0,"2009-12-11",1,4,5,7,22,29,48,13
"LOTTO MAX",13,0,"2009-12-18",8,10,15,17,33,34,35,13
"LOTTO MAX",14,0,"2009-12-25",8,9,12,13,29,30,31,47
"LOTTO MAX",15,0,"2010-01-01",7,9,13,18,27,33,44,15
"LOTTO MAX",16,0,"2010-01-08",8,17,21,23,24,28,39,31
"LOTTO MAX",17,0,"2010-01-15",12,17,22,30,34,43,49,48
"LOTTO MAX",18,0,"2010-01-22",17,26,30,32,34,39,41,49
"LOTTO MAX",19,0,"2010-01-29",16,17,22,24,40,41,47,45
"LOTTO MAX",20,0,"2010-02-05",10,19,25,29,39,41,42,21
"LOTTO MAX",21,0,"2010-02-12",9,12,17,23,34,42,47,37
"LOTTO MAX",22,0,"2010-02-19",4,23,27,32,35,43,47,24
"LOTTO MAX",23,0,"2010-02-26",2,27,30,32,35,36,38,39
"LOTTO MAX",23,1,"2010-02-26",12,16,21,33,34,35,43,0
"LOTTO MAX",23,2,"2010-02-26",9,15,18,19,21,39,49,0
"LOTTO MAX",23,3,"2010-02-26",14,15,19,22,36,39,46,0
"LOTTO MAX",23,4,"2010-02-26",3,15,18,26,37,44,49,0
"LOTTO MAX",23,5,"2010-02-26",7,15,16,19,32,37,47,0
"LOTTO MAX",23,6,"2010-02-26",8,26,29,35,42,45,47,0
"LOTTO MAX",23,7,"2010-02-26",3,14,16,17,35,40,44,0
"LOTTO MAX",23,8,"2010-02-26",6,20,21,22,24,26,35,0
"LOTTO MAX",23,9,"2010-02-26",1,2,11,16,29,43,47,0
"LOTTO MAX",23,10,"2010-02-26",14,15,17,18,24,26,39,0
"LOTTO MAX",24,0,"2010-03-05",5,8,18,22,32,39,45,19
"LOTTO MAX",25,0,"2010-03-12",17,18,19,21,32,40,49,6
"LOTTO MAX",26,0,"2010-03-19",1,3,6,34,37,42,45,27
"LOTTO MAX",27,0,"2010-03-26",3,11,12,16,34,36,37,18
"LOTTO MAX",28,0,"2010-04-02",4,9,12,15,28,29,43,17
"LOTTO MAX",29,0,"2010-04-09",11,16,29,30,31,33,42,24
"LOTTO MAX",30,0,"2010-04-16",6,7,17,20,32,44,49,46
"LOTTO MAX",31,0,"2010-04-23",8,11,16,21,24,28,41,37
"LOTTO MAX",32,0,"2010-04-30",1,3,4,5,16,32,33,41
